"Gene","Genome","Taxonomy","Product","Cluster","Totals","Phylum"
"Ga0164292_104353511_GEODES117","Ga0164292_10435351","None","Retrotransposon gag protein",16,19618.7252640971,"Unclassified"
"Ga0164292_104364201_GEODES117","Ga0164292_10436420","None","hypothetical protein",0,168863.577018175,"Unclassified"
"Ga0164292_104647991_GEODES117","Ga0164292_10464799","NO CLASSIFICATION MH","Reverse transcriptase (RNA-dependent DNA polymerase)",2,274990.640178385,"Unclassified"
"Ga0164292_104663741_GEODES117","Ga0164292_10466374","None","hypothetical protein",4,670561.761393681,"Unclassified"
"Ga0164292_104672121_GEODES117","Ga0164292_10467212","NO CLASSIFICATION MH","Reverse transcriptase (RNA-dependent DNA polymerase)",2,3073568.57515866,"Unclassified"
"Ga0164292_104700761_GEODES117","Ga0164292_10470076","None","hypothetical protein",2,614159.073948039,"Unclassified"
"Ga0164292_104719991_GEODES117","Ga0164292_10471999","NO CLASSIFICATION MH","large subunit ribosomal protein L17",12,39612.7606790368,"Unclassified"
"Ga0164292_104789762_GEODES117","Ga0164292_10478976","None","hypothetical protein",2,141320.018084002,"Unclassified"
"Ga0164292_104832071_GEODES117","Ga0164292_10483207","NO CLASSIFICATION MH","hypothetical protein",2,888188.775281974,"Unclassified"
"Ga0164292_105076031_GEODES117","Ga0164292_10507603","None","hypothetical protein",3,148795.598010643,"Unclassified"
"Ga0164292_105284041_GEODES117","Ga0164292_10528404","NO CLASSIFICATION MH","Integrase core domain-containing protein/His(2)-Cys(2) zinc finger",2,379822.352141871,"Unclassified"
"Ga0164292_105298321_GEODES117","Ga0164292_10529832","None","hypothetical protein",2,13257.0479273481,"Unclassified"
"Ga0164292_105415262_GEODES117","Ga0164292_10541526","NO CLASSIFICATION MH","hypothetical protein",1,48541.7883605774,"Unclassified"
"Ga0164292_105419611_GEODES117","Ga0164292_10541961","NO CLASSIFICATION MH","nucleoprotein TPR",2,329785.591578331,"Unclassified"
"Ga0164292_105484501_GEODES117","Ga0164292_10548450","None","hypothetical protein",2,525525.61694398,"Unclassified"
"Ga0164292_105524031_GEODES117","Ga0164292_10552403","None","hypothetical protein",6,8770.59604247521,"Unclassified"
"Ga0164292_105573591_GEODES117","Ga0164292_10557359","NO CLASSIFICATION MH","hypothetical protein",2,647275.683075108,"Unclassified"
"Ga0164292_105617191_GEODES117","Ga0164292_10561719","None","hypothetical protein",10,9040.43930651101,"Unclassified"
"Ga0164292_105744751_GEODES117","Ga0164292_10574475","None","hypothetical protein",0,97087.3439221944,"Unclassified"
"Ga0164292_105844541_GEODES117","Ga0164292_10584454","None","hypothetical protein",6,49660.8086395372,"Unclassified"
"Ga0164292_105975961_GEODES117","Ga0164292_10597596","NO CLASSIFICATION MH","hypothetical protein",7,98513.0584141833,"Unclassified"
"Ga0164292_106026341_GEODES117","Ga0164292_10602634","None","hypothetical protein",6,17736.669552853,"Unclassified"
"Ga0164292_106062321_GEODES117","Ga0164292_10606232","None","hypothetical protein",2,314890.588452352,"Unclassified"
"Ga0164292_106063371_GEODES117","Ga0164292_10606337","NO CLASSIFICATION MH","Reverse transcriptase (RNA-dependent DNA polymerase)",7,107779.433166131,"Unclassified"
"Ga0164292_106090981_GEODES117","Ga0164292_10609098","None","hypothetical protein",6,41515.4539301954,"Unclassified"
"Ga0164292_106150511_GEODES117","Ga0164292_10615051","None","hypothetical protein",2,161443.608317707,"Unclassified"
"Ga0164292_106319851_GEODES117","Ga0164292_10631985","NO CLASSIFICATION MH","Reverse transcriptase (RNA-dependent DNA polymerase)",3,709589.216060073,"Unclassified"
"Ga0164292_106372991_GEODES117","Ga0164292_10637299","NO CLASSIFICATION MH","hypothetical protein",16,174011.152512358,"Unclassified"
"Ga0164292_106382181_GEODES117","Ga0164292_10638218","None","hypothetical protein",21,88212.8387649525,"Unclassified"
"Ga0164292_106479011_GEODES117","Ga0164292_10647901","NO CLASSIFICATION MH","hypothetical protein",2,39544.94660779,"Unclassified"
"Ga0164292_106501341_GEODES117","Ga0164292_10650134","NO CLASSIFICATION MH","hypothetical protein",16,19608.3124680124,"Unclassified"
"Ga0164292_106762011_GEODES117","Ga0164292_10676201","NO CLASSIFICATION MH","hypothetical protein",0,137833.117969794,"Unclassified"
"Ga0164292_106876921_GEODES117","Ga0164292_10687692","NO CLASSIFICATION MH","hypothetical protein",17,11061.6833080654,"Unclassified"
"Ga0164292_106910572_GEODES117","Ga0164292_10691057","None","hypothetical protein",19,10338.2528781289,"Unclassified"
"Ga0164292_107046491_GEODES117","Ga0164292_10704649","NO CLASSIFICATION MH","hypothetical protein",2,52513.3884627386,"Unclassified"
"Ga0164292_107046551_GEODES117","Ga0164292_10704655","None","hypothetical protein",3,147339.087437322,"Unclassified"
"Ga0164292_107092581_GEODES117","Ga0164292_10709258","None","hypothetical protein",2,220158.087696141,"Unclassified"
"Ga0164292_107461251_GEODES117","Ga0164292_10746125","None","hypothetical protein",2,658489.276121026,"Unclassified"
"Ga0164292_107484211_GEODES117","Ga0164292_10748421","None","hypothetical protein",9,8689.36966855611,"Unclassified"
"Ga0164292_107726701_GEODES117","Ga0164292_10772670","NO CLASSIFICATION MH","Reverse transcriptase (RNA-dependent DNA polymerase)",2,454401.602733061,"Unclassified"
"Ga0164292_107812031_GEODES117","Ga0164292_10781203","NO CLASSIFICATION MH","hypothetical protein",11,85600.0980447366,"Unclassified"
"Ga0164292_107915691_GEODES117","Ga0164292_10791569","None","hypothetical protein",14,17339.3316613612,"Unclassified"
"Ga0164292_108023721_GEODES117","Ga0164292_10802372","NO CLASSIFICATION MH","Reverse transcriptase (RNA-dependent DNA polymerase)",14,15762.5901766668,"Unclassified"
"Ga0164292_108086691_GEODES117","Ga0164292_10808669","NO CLASSIFICATION MH","Integrase core domain-containing protein",2,894413.159138876,"Unclassified"
"Ga0164292_108250651_GEODES117","Ga0164292_10825065","NO CLASSIFICATION MH","Integrase core domain-containing protein",11,513578.111747721,"Unclassified"
"Ga0164292_108284541_GEODES117","Ga0164292_10828454","None","hypothetical protein",15,133239.08179956,"Unclassified"
"Ga0164292_108303751_GEODES117","Ga0164292_10830375","None","hypothetical protein",2,81960.2931289457,"Unclassified"
"Ga0164292_108526321_GEODES117","Ga0164292_10852632","None","hypothetical protein",4,114873.383278984,"Unclassified"
"Ga0164292_108692201_GEODES117","Ga0164292_10869220","None","hypothetical protein",2,143441.436437764,"Unclassified"
"Ga0164292_108840861_GEODES117","Ga0164292_10884086","None","hypothetical protein",2,448988.868189176,"Unclassified"
"Ga0164292_108865241_GEODES117","Ga0164292_10886524","None","hypothetical protein",2,50417.6263861759,"Unclassified"
"Ga0164292_108884881_GEODES117","Ga0164292_10888488","None","hypothetical protein",16,16503.0992666744,"Unclassified"
"Ga0164292_108935021_GEODES117","Ga0164292_10893502","NO CLASSIFICATION MH","tubulin alpha",6,7781.38422860203,"Unclassified"
"Ga0164292_108945601_GEODES117","Ga0164292_10894560","NO CLASSIFICATION MH","hypothetical protein",1,96677.7822841814,"Unclassified"
"Ga0164292_109028082_GEODES117","Ga0164292_10902808","None","hypothetical protein",4,14750.2924931835,"Unclassified"
"Ga0164292_109080301_GEODES117","Ga0164292_10908030","NO CLASSIFICATION MH","Integrase core domain-containing protein",4,48399.4661151138,"Unclassified"
"Ga0164292_109133531_GEODES117","Ga0164292_10913353","None","hypothetical protein",2,13418.6629210257,"Unclassified"
"Ga0164292_109296051_GEODES117","Ga0164292_10929605","None","hypothetical protein",6,24904.9084208383,"Unclassified"
"Ga0164292_109437331_GEODES117","Ga0164292_10943733","NO CLASSIFICATION MH","His(2)-Cys(2) zinc finger",2,32731.6057192175,"Unclassified"
"Ga0164292_109475841_GEODES117","Ga0164292_10947584","NO CLASSIFICATION MH","Reverse transcriptase (RNA-dependent DNA polymerase)",7,27527.4649606435,"Unclassified"
"Ga0164292_109490201_GEODES117","Ga0164292_10949020","NO CLASSIFICATION MH","hypothetical protein",9,66383.7036198726,"Unclassified"
"Ga0164292_109675351_GEODES117","Ga0164292_10967535","None","hypothetical protein",2,135011.253214499,"Unclassified"
"Ga0164292_109776081_GEODES117","Ga0164292_10977608","None","Retrotransposon gag protein",2,31822.5410518669,"Unclassified"
"Ga0164292_109942401_GEODES117","Ga0164292_10994240","None","hypothetical protein",3,23475.4387285099,"Unclassified"
"Ga0164292_109972731_GEODES117","Ga0164292_10997273","NO CLASSIFICATION MH","histone H3",5,164458.251759243,"Unclassified"
"Ga0164292_110006851_GEODES117","Ga0164292_11000685","None","hypothetical protein",8,22864.5698138981,"Unclassified"
"Ga0164292_110315421_GEODES117","Ga0164292_11031542","NO CLASSIFICATION MH","histone H3",3,6458248.28447798,"Unclassified"
"Ga0164292_110364641_GEODES117","Ga0164292_11036464","None","hypothetical protein",10,9346.26399818743,"Unclassified"
"Ga0164292_110368051_GEODES117","Ga0164292_11036805","NO CLASSIFICATION MH","hypothetical protein",15,14855.5513964403,"Unclassified"
"Ga0164292_110599331_GEODES117","Ga0164292_11059933","NO CLASSIFICATION MH","hypothetical protein",15,11457.394806475,"Unclassified"
"Ga0164292_110810051_GEODES117","Ga0164292_11081005","None","hypothetical protein",3,62948.3898648785,"Unclassified"
"Ga0164292_110816841_GEODES117","Ga0164292_11081684","None","hypothetical protein",2,525978.931385036,"Unclassified"
"Ga0164292_110932001_GEODES117","Ga0164292_11093200","None","hypothetical protein",10,38779.7548277661,"Unclassified"
"Ga0164292_111006471_GEODES117","Ga0164292_11100647","NO CLASSIFICATION MH","hypothetical protein",7,14946.6023886079,"Unclassified"
"Ga0164292_111136301_GEODES117","Ga0164292_11113630","NO CLASSIFICATION MH","hypothetical protein",12,76255.261379828,"Unclassified"
"Ga0164292_111143301_GEODES117","Ga0164292_11114330","None","hypothetical protein",15,283331.161192807,"Unclassified"
"Ga0164292_111171151_GEODES117","Ga0164292_11117115","None","hypothetical protein",21,120060.29064091,"Unclassified"
"Ga0164292_111172422_GEODES117","Ga0164292_11117242","None","hypothetical protein",11,149915.981945772,"Unclassified"
"Ga0164292_111175011_GEODES117","Ga0164292_11117501","NO CLASSIFICATION MH","histone H2A",3,17478595.3779112,"Unclassified"
"Ga0164292_111200061_GEODES117","Ga0164292_11120006","None","hypothetical protein",2,337147.580744524,"Unclassified"
"Ga0164292_111214311_GEODES117","Ga0164292_11121431","None","hypothetical protein",2,328292.18140255,"Unclassified"
"Ga0164292_111274611_GEODES117","Ga0164292_11127461","None","hypothetical protein",8,20824.3496530332,"Unclassified"
"Ga0164292_111318111_GEODES117","Ga0164292_11131811","None","hypothetical protein",21,24409.6135124346,"Unclassified"
"Ga0164292_111399041_GEODES117","Ga0164292_11139904","None","hypothetical protein",15,13697.3660650455,"Unclassified"
"Ga0164292_111408571_GEODES117","Ga0164292_11140857","None","hypothetical protein",18,14326.6588892336,"Unclassified"
"Ga0164292_111797941_GEODES117","Ga0164292_11179794","None","hypothetical protein",13,138232.905902282,"Unclassified"
"Ga0164292_111983441_GEODES117","Ga0164292_11198344","None","hypothetical protein",2,506743.038922967,"Unclassified"
"Ga0164292_111999601_GEODES117","Ga0164292_11199960","NO CLASSIFICATION MH","hypothetical protein",12,81052.0380583518,"Unclassified"
"Ga0164292_112230601_GEODES117","Ga0164292_11223060","None","hypothetical protein",4,143317.422507252,"Unclassified"
"Ga0164292_112237081_GEODES117","Ga0164292_11223708","NO CLASSIFICATION MH","hypothetical protein",12,50645.6662678932,"Unclassified"
"Ga0164292_112352551_GEODES117","Ga0164292_11235255","None","hypothetical protein",24,11676.8438897824,"Unclassified"
"Ga0164292_112581521_GEODES117","Ga0164292_11258152","None","hypothetical protein",6,10895.5823211444,"Unclassified"
"Ga0164292_112755821_GEODES117","Ga0164292_11275582","None","hypothetical protein",2,52548.5686649842,"Unclassified"
"Ga0164292_112915931_GEODES117","Ga0164292_11291593","None","hypothetical protein",11,30148.1376101942,"Unclassified"
"Ga0164292_113057071_GEODES117","Ga0164292_11305707","NO CLASSIFICATION MH","Reverse transcriptase (RNA-dependent DNA polymerase)",2,56593.8371240612,"Unclassified"
"Ga0164292_113063361_GEODES117","Ga0164292_11306336","NO CLASSIFICATION MH","hypothetical protein",21,13731.168476808,"Unclassified"
"Ga0164292_113181811_GEODES117","Ga0164292_11318181","NO CLASSIFICATION MH","hypothetical protein",1,60848.0246399236,"Unclassified"
"Ga0164292_113369451_GEODES117","Ga0164292_11336945","NO CLASSIFICATION MH","E1A/CREB-binding protein",6,16614.2543639808,"Unclassified"
"Ga0164292_113426141_GEODES117","Ga0164292_11342614","None","hypothetical protein",2,121091.918421163,"Unclassified"
"Ga0164292_113552841_GEODES117","Ga0164292_11355284","NO CLASSIFICATION MH","Integrase core domain-containing protein",18,52842.8517029364,"Unclassified"
"Ga0164292_113918601_GEODES117","Ga0164292_11391860","None","hypothetical protein",23,10639.14016701,"Unclassified"
"Ga0164292_114027341_GEODES117","Ga0164292_11402734","None","hypothetical protein",3,57766.4283745053,"Unclassified"
"Ga0164292_114052111_GEODES117","Ga0164292_11405211","NO CLASSIFICATION MH","hypothetical protein",13,601568.447585302,"Unclassified"
"Ga0164292_114202411_GEODES117","Ga0164292_11420241","None","hypothetical protein",13,23757.5023462681,"Unclassified"
"Ga0164292_114623011_GEODES117","Ga0164292_11462301","None","hypothetical protein",5,8616.4879858914,"Unclassified"
"Ga0164292_114752881_GEODES117","Ga0164292_11475288","None","hypothetical protein",13,62491.3530162469,"Unclassified"
"Ga0164292_114904331_GEODES117","Ga0164292_11490433","None","hypothetical protein",2,51785.7907619249,"Unclassified"
"Ga0164292_115007711_GEODES117","Ga0164292_11500771","NO CLASSIFICATION MH","hypothetical protein",2,271748.358723642,"Unclassified"
"Ga0164292_115118831_GEODES117","Ga0164292_11511883","None","hypothetical protein",9,18251.1616234825,"Unclassified"
"Ga0164292_115154271_GEODES117","Ga0164292_11515427","None","hypothetical protein",13,33718.1860665364,"Unclassified"
"Ga0164292_115306801_GEODES117","Ga0164292_11530680","None","hypothetical protein",11,40864.7980219404,"Unclassified"
"Ga0164292_115499331_GEODES117","Ga0164292_11549933","NO CLASSIFICATION MH","hypothetical protein",3,21832.2429565539,"Unclassified"
"Ga0164292_115649371_GEODES117","Ga0164292_11564937","NO CLASSIFICATION MH","large subunit ribosomal protein LP1",4,49923.9974053116,"Unclassified"
"Ga0164292_115708252_GEODES117","Ga0164292_11570825","None","hypothetical protein",18,20005.6413607291,"Unclassified"
"Ga0164292_115851541_GEODES117","Ga0164292_11585154","None","hypothetical protein",6,236002.981210199,"Unclassified"
"Ga0164292_116101581_GEODES117","Ga0164292_11610158","NO CLASSIFICATION MH","F-type H+-transporting ATPase subunit beta",1,42360.5575849123,"Unclassified"
"Ga0164292_116157621_GEODES117","Ga0164292_11615762","NO CLASSIFICATION MH","hypothetical protein",8,140162.77282807,"Unclassified"
"Ga0164292_116189191_GEODES117","Ga0164292_11618919","NO CLASSIFICATION MH","hypothetical protein",3,62398.6680575064,"Unclassified"
"Ga0164292_116463291_GEODES117","Ga0164292_11646329","NO CLASSIFICATION MH","Reverse transcriptase (RNA-dependent DNA polymerase)",15,31322.9277794257,"Unclassified"
"Ga0164292_116574071_GEODES117","Ga0164292_11657407","None","hypothetical protein",3,883418.584167727,"Unclassified"
"Ga0164292_116575231_GEODES117","Ga0164292_11657523","None","hypothetical protein",2,63371.4029671097,"Unclassified"
"Ga0164292_116687901_GEODES117","Ga0164292_11668790","None","hypothetical protein",11,71680.497717792,"Unclassified"
"Ga0164292_116697571_GEODES117","Ga0164292_11669757","None","hypothetical protein",2,301145.721167682,"Unclassified"
"Ga0164292_116733291_GEODES117","Ga0164292_11673329","None","hypothetical protein",2,232934.7012517,"Unclassified"
"Ga0164292_117134641_GEODES117","Ga0164292_11713464","None","hypothetical protein",8,12284.097517694,"Unclassified"
"Ga0164292_117393301_GEODES117","Ga0164292_11739330","None","hypothetical protein",2,56985.0307645287,"Unclassified"
"Ga0164292_117432981_GEODES117","Ga0164292_11743298","NO CLASSIFICATION MH","hypothetical protein",9,11203.6224036505,"Unclassified"
"Ga0164292_117841971_GEODES117","Ga0164292_11784197","None","hypothetical protein",5,7432.95269035257,"Unclassified"
"Ga0164292_117939971_GEODES117","Ga0164292_11793997","None","hypothetical protein",5,15598.9788762555,"Unclassified"
"Ga0164292_117963191_GEODES117","Ga0164292_11796319","None","hypothetical protein",2,174057.354148044,"Unclassified"
"Ga0164292_117989211_GEODES117","Ga0164292_11798921","None","hypothetical protein",2,954287.767661446,"Unclassified"
"Ga0164292_118155091_GEODES117","Ga0164292_11815509","None","hypothetical protein",2,10769.6999618241,"Unclassified"
"Ga0164292_118332981_GEODES117","Ga0164292_11833298","None","hypothetical protein",2,37565.5658650008,"Unclassified"
"Ga0164292_118337301_GEODES117","Ga0164292_11833730","NO CLASSIFICATION MH","His(2)-Cys(2) zinc finger",13,16532.0266761338,"Unclassified"
"Ga0164292_118830361_GEODES117","Ga0164292_11883036","NO CLASSIFICATION MH","Reverse transcriptase (RNA-dependent DNA polymerase)",1,13697.3559862606,"Unclassified"
"Ga0164292_118870541_GEODES117","Ga0164292_11887054","None","hypothetical protein",12,19681.0892391088,"Unclassified"
"Ga0164292_118883722_GEODES117","Ga0164292_11888372","None","hypothetical protein",16,20917.5082497611,"Unclassified"
"Ga0164292_119213061_GEODES117","Ga0164292_11921306","None","hypothetical protein",23,18685.4115987915,"Unclassified"
"Ga0164292_119494331_GEODES117","Ga0164292_11949433","None","hypothetical protein",2,107639.737993547,"Unclassified"
"Ga0164292_119581821_GEODES117","Ga0164292_11958182","None","hypothetical protein",2,363626.264043739,"Unclassified"
"Ga0164292_119730741_GEODES117","Ga0164292_11973074","None","hypothetical protein",7,39506.9011077175,"Unclassified"
"Ga0164292_119774781_GEODES117","Ga0164292_11977478","None","hypothetical protein",5,16335.484161662,"Unclassified"
"Ga0164292_119943401_GEODES117","Ga0164292_11994340","None","hypothetical protein",14,40755.3909107534,"Unclassified"
"Ga0164292_119989711_GEODES117","Ga0164292_11998971","None","hypothetical protein",6,8987.20107145169,"Unclassified"
"Ga0164292_120099221_GEODES117","Ga0164292_12009922","None","hypothetical protein",8,74390.9095972062,"Unclassified"
"Ga0164292_120436381_GEODES117","Ga0164292_12043638","None","hypothetical protein",14,18620.3506206034,"Unclassified"
"Ga0164292_120474931_GEODES117","Ga0164292_12047493","None","hypothetical protein",2,72580.1986128816,"Unclassified"
"Ga0164292_120650881_GEODES117","Ga0164292_12065088","NO CLASSIFICATION MH","Pao retrotransposon peptidase",2,108855.525694177,"Unclassified"
"Ga0164292_120667421_GEODES117","Ga0164292_12066742","None","hypothetical protein",5,42798.4432300963,"Unclassified"
"Ga0164292_121604071_GEODES117","Ga0164292_12160407","None","hypothetical protein",5,15030.7357973761,"Unclassified"
"Ga0164292_121913251_GEODES117","Ga0164292_12191325","None","hypothetical protein",12,12381.7586510172,"Unclassified"
"Ga0164292_121941351_GEODES117","Ga0164292_12194135","NO CLASSIFICATION MH","hypothetical protein",8,28274.1385910592,"Unclassified"
"Ga0164292_121991191_GEODES117","Ga0164292_12199119","None","hypothetical protein",5,24952.4122376399,"Unclassified"
"Ga0164292_122246091_GEODES117","Ga0164292_12224609","None","hypothetical protein",3,67408.4919415203,"Unclassified"
"Ga0164292_122727961_GEODES117","Ga0164292_12272796","None","hypothetical protein",4,62530.4974860739,"Unclassified"
"Ga0164292_122873001_GEODES117","Ga0164292_12287300","None","hypothetical protein",2,677577.597665331,"Unclassified"
"Ga0164292_124082081_GEODES117","Ga0164292_12408208","None","hypothetical protein",11,73226.1409068632,"Unclassified"
"Ga0164292_124324661_GEODES117","Ga0164292_12432466","None","hypothetical protein",17,27379.7269598423,"Unclassified"
"Ga0164292_124389001_GEODES117","Ga0164292_12438900","None","hypothetical protein",2,393516.307161669,"Unclassified"
"Ga0164292_125807411_GEODES117","Ga0164292_12580741","None","hypothetical protein",2,121002.655416689,"Unclassified"
"Ga0164292_126516381_GEODES117","Ga0164292_12651638","None","hypothetical protein",2,455270.671233273,"Unclassified"
"Ga0164293_100098503_GEODES118","Ga0164293_10009850","","ribulose-bisphosphate carboxylase large chain",20,14998.1530676071,NA
"Ga0164293_100234633_GEODES118","Ga0164293_10023463","NO CLASSIFICATION MH","Transposase InsO and inactivated derivatives",2,5602378.18616939,"Unclassified"
"Ga0164293_100403812_GEODES118","Ga0164293_10040381","Proteobacteria;Alphaproteobacteria;Rhizobiales;","small subunit ribosomal protein S4",1,35020.2369251766,"Proteobacteria"
"Ga0164293_100513021_GEODES118","Ga0164293_10051302","NO CLASSIFICATION MH","Reverse transcriptase (RNA-dependent DNA polymerase)",3,1881836.38983755,"Unclassified"
"Ga0164293_100766011_GEODES118","Ga0164293_10076601","None","hypothetical protein",2,1025815.04201501,"Unclassified"
"Ga0164293_100902473_GEODES118","Ga0164293_10090247","NO CLASSIFICATION MH","hypothetical protein",14,333991.790479875,"Unclassified"
"Ga0164293_100927721_GEODES118","Ga0164293_10092772","NO CLASSIFICATION MH","Integrase core domain-containing protein/Reverse transcriptase (RNA-dependent DNA polymerase)",2,2676682.53622312,"Unclassified"
"Ga0164293_101001451_GEODES118","Ga0164293_10100145","None","hypothetical protein",2,1166527.09633274,"Unclassified"
"Ga0164293_101131141_GEODES118","Ga0164293_10113114","NO CLASSIFICATION MH","Reverse transcriptase (RNA-dependent DNA polymerase)",2,825875.299220819,"Unclassified"
"Ga0164293_101378251_GEODES118","Ga0164293_10137825","NO CLASSIFICATION MH","Reverse transcriptase (RNA-dependent DNA polymerase)/aspartyl protease",2,832176.339130737,"Unclassified"
