"Gene","Genome","Taxonomy","Product","Cluster","Totals"
"Ga0164292_114904331_GEODES117","Ga0164292_11490433","None","hypothetical protein",1,51785.7907619249
"Ga0164292_115007711_GEODES117","Ga0164292_11500771","NO CLASSIFICATION MH","hypothetical protein",1,271748.358723642
"Ga0164292_115649371_GEODES117","Ga0164292_11564937","NO CLASSIFICATION MH","large subunit ribosomal protein LP1",3,49923.9974053116
"Ga0164292_115851541_GEODES117","Ga0164292_11585154","None","hypothetical protein",7,236002.981210199
"Ga0164292_116157621_GEODES117","Ga0164292_11615762","NO CLASSIFICATION MH","hypothetical protein",17,140162.77282807
"Ga0164292_116574071_GEODES117","Ga0164292_11657407","None","hypothetical protein",1,883418.584167727
"Ga0164292_116697571_GEODES117","Ga0164292_11669757","None","hypothetical protein",1,301145.721167682
"Ga0164292_116733291_GEODES117","Ga0164292_11673329","None","hypothetical protein",1,232934.7012517
"Ga0164292_117393301_GEODES117","Ga0164292_11739330","None","hypothetical protein",1,56985.0307645287
"Ga0164292_117963191_GEODES117","Ga0164292_11796319","None","hypothetical protein",1,174057.354148044
"Ga0164292_117989211_GEODES117","Ga0164292_11798921","None","hypothetical protein",1,954287.767661446
"Ga0164292_119581821_GEODES117","Ga0164292_11958182","None","hypothetical protein",1,363626.264043739
"Ga0164292_120650881_GEODES117","Ga0164292_12065088","NO CLASSIFICATION MH","Pao retrotransposon peptidase",1,108855.525694177
"Ga0164292_122727961_GEODES117","Ga0164292_12272796","None","hypothetical protein",2,62530.4974860739
"Ga0164292_122873001_GEODES117","Ga0164292_12287300","None","hypothetical protein",1,677577.597665331
"Ga0164292_124082081_GEODES117","Ga0164292_12408208","None","hypothetical protein",1,73226.1409068632
"Ga0164292_124389001_GEODES117","Ga0164292_12438900","None","hypothetical protein",1,393516.307161669
"Ga0164292_125807411_GEODES117","Ga0164292_12580741","None","hypothetical protein",1,121002.655416689
"Ga0164292_126516381_GEODES117","Ga0164292_12651638","None","hypothetical protein",1,455270.671233273
"Ga0164293_100234633_GEODES118","Ga0164293_10023463","NO CLASSIFICATION MH","Transposase InsO and inactivated derivatives",1,5602378.18616939
"Ga0164293_100513021_GEODES118","Ga0164293_10051302","NO CLASSIFICATION MH","Reverse transcriptase (RNA-dependent DNA polymerase)",2,1881836.38983755
"Ga0164293_100766011_GEODES118","Ga0164293_10076601","None","hypothetical protein",1,1025815.04201501
"Ga0164293_100902473_GEODES118","Ga0164293_10090247","NO CLASSIFICATION MH","hypothetical protein",12,333991.790479875
"Ga0164293_100927721_GEODES118","Ga0164293_10092772","NO CLASSIFICATION MH","Integrase core domain-containing protein/Reverse transcriptase (RNA-dependent DNA polymerase)",1,2676682.53622312
"Ga0164293_101001451_GEODES118","Ga0164293_10100145","None","hypothetical protein",1,1166527.09633274
"Ga0164293_101131141_GEODES118","Ga0164293_10113114","NO CLASSIFICATION MH","Reverse transcriptase (RNA-dependent DNA polymerase)",1,825875.299220819
"Ga0164293_101378251_GEODES118","Ga0164293_10137825","NO CLASSIFICATION MH","Reverse transcriptase (RNA-dependent DNA polymerase)/aspartyl protease",1,832176.339130737
"Ga0164293_101462051_GEODES118","Ga0164293_10146205","None","hypothetical protein",1,762150.554577674
"Ga0164293_101513411_GEODES118","Ga0164293_10151341","NO CLASSIFICATION MH","cleavage and polyadenylation specificity factor subunit 1",1,6359734.51699312
"Ga0164293_101728572_GEODES118","Ga0164293_10172857","NO CLASSIFICATION MH","hypothetical protein",1,987292.25712852
"Ga0164293_102012232_GEODES118","Ga0164293_10201223","None","hypothetical protein",4,58100.0573962582
"Ga0164293_102026861_GEODES118","Ga0164293_10202686","NO CLASSIFICATION MH","Transposase InsO and inactivated derivatives",1,2809182.33793916
"Ga0164293_102051461_GEODES118","Ga0164293_10205146","NO CLASSIFICATION MH","hypothetical protein",1,556993.737802432
"Ga0164293_102259151_GEODES118","Ga0164293_10225915","None","hypothetical protein",1,1817091.97783841
"Ga0164293_102317961_GEODES118","Ga0164293_10231796","None","Retrotransposon gag protein",1,432014.469502073
"Ga0164293_102323452_GEODES118","Ga0164293_10232345","None","hypothetical protein",1,834922.269611506
"Ga0164293_102329731_GEODES118","Ga0164293_10232973","NO CLASSIFICATION MH","Reverse transcriptase (RNA-dependent DNA polymerase)",1,326281.082928793
"Ga0164293_102509702_GEODES118","Ga0164293_10250970","None","hypothetical protein",1,142840.703657086
"Ga0164293_102584461_GEODES118","Ga0164293_10258446","None","hypothetical protein",1,166850.8169699
"Ga0164293_102646791_GEODES118","Ga0164293_10264679","NO CLASSIFICATION MH","Integrase core domain-containing protein",16,363341.394819929
"Ga0164293_102676151_GEODES118","Ga0164293_10267615","NO CLASSIFICATION MH","Integrase core domain-containing protein",1,3183793.70708876
"Ga0164293_102887342_GEODES118","Ga0164293_10288734","None","Aspartyl protease",1,209006.104628913
"Ga0164293_102939721_GEODES118","Ga0164293_10293972","None","hypothetical protein",1,638287.980991502
"Ga0164293_103056131_GEODES118","Ga0164293_10305613","None","hypothetical protein",1,453116.786926792
"Ga0164293_103057341_GEODES118","Ga0164293_10305734","NO CLASSIFICATION MH","photosystem II P680 reaction center D1 protein",1,1628333.31515429
"Ga0164293_103062021_GEODES118","Ga0164293_10306202","None","hypothetical protein",11,117200.035369765
"Ga0164293_103227031_GEODES118","Ga0164293_10322703","NO CLASSIFICATION MH","Reverse transcriptase (RNA-dependent DNA polymerase)",1,2353676.99153561
"Ga0164293_103294491_GEODES118","Ga0164293_10329449","None","hypothetical protein",6,219356.949050255
"Ga0164293_103353111_GEODES118","Ga0164293_10335311","NO CLASSIFICATION MH","hypothetical protein",1,896153.32026988
"Ga0164293_103397381_GEODES118","Ga0164293_10339738","None","hypothetical protein",1,325279.48390148
"Ga0164293_103544961_GEODES118","Ga0164293_10354496","NO CLASSIFICATION MH","guanine nucleotide-binding protein subunit beta-2-like 1 protein",2,163513.444020689
"Ga0164293_103652041_GEODES118","Ga0164293_10365204","None","hypothetical protein",1,1071608.13965885
"Ga0164293_103746082_GEODES118","Ga0164293_10374608","None","hypothetical protein",1,594352.529612832
"Ga0164293_103885241_GEODES118","Ga0164293_10388524","NO CLASSIFICATION MH","hypothetical protein",1,352463.797193018
"Ga0164293_104214551_GEODES118","Ga0164293_10421455","None","hypothetical protein",1,3777475.93354333
"Ga0164293_104333481_GEODES118","Ga0164293_10433348","NO CLASSIFICATION MH","hypothetical protein",1,832809.060953206
"Ga0164293_104434791_GEODES118","Ga0164293_10443479","NO CLASSIFICATION MH","Integrase core domain-containing protein",12,317260.262037191
"Ga0164293_104462151_GEODES118","Ga0164293_10446215","None","hypothetical protein",1,122331.297811023
"Ga0164293_104491521_GEODES118","Ga0164293_10449152","None","gag-polyprotein putative aspartyl protease",1,2043156.84047258
"Ga0164293_104669502_GEODES118","Ga0164293_10466950","None","hypothetical protein",1,1024803.4064733
"Ga0164293_104740891_GEODES118","Ga0164293_10474089","NO CLASSIFICATION MH","Integrase core domain-containing protein",6,225423.439814793
"Ga0164293_104779142_GEODES118","Ga0164293_10477914","None","hypothetical protein",2,715944.757678678
"Ga0164293_104944261_GEODES118","Ga0164293_10494426","NO CLASSIFICATION MH","tubulin beta",4,565752.19036088
"Ga0164293_105011311_GEODES118","Ga0164293_10501131","None","hypothetical protein",1,173720.933537286
"Ga0164293_105053631_GEODES118","Ga0164293_10505363","NO CLASSIFICATION MH","Integrase core domain-containing protein",1,4168676.63414703
"Ga0164293_105200182_GEODES118","Ga0164293_10520018","None","hypothetical protein",1,110187.288726134
"Ga0164293_105262221_GEODES118","Ga0164293_10526222","None","hypothetical protein",13,142182.125690169
"Ga0164293_105626861_GEODES118","Ga0164293_10562686","NO CLASSIFICATION MH","hypothetical protein",1,864704.346494725
"Ga0164293_105719651_GEODES118","Ga0164293_10571965","None","hypothetical protein",1,791216.404506941
"Ga0164293_105750441_GEODES118","Ga0164293_10575044","NO CLASSIFICATION MH","hypothetical protein",1,2307619.62596628
"Ga0164293_105773161_GEODES118","Ga0164293_10577316","NO CLASSIFICATION MH","hypothetical protein",14,2012835.03867243
"Ga0164293_106390361_GEODES118","Ga0164293_10639036","None","hypothetical protein",1,203561.555900841
"Ga0164293_106390531_GEODES118","Ga0164293_10639053","None","hypothetical protein",1,345933.206706865
"Ga0164293_106393521_GEODES118","Ga0164293_10639352","None","hypothetical protein",1,299622.723537904
"Ga0164293_106588831_GEODES118","Ga0164293_10658883","NO CLASSIFICATION MH","Reverse transcriptase (RNA-dependent DNA polymerase)",1,2277845.98058917
"Ga0164293_106614431_GEODES118","Ga0164293_10661443","None","hypothetical protein",1,625082.269146573
"Ga0164293_106698181_GEODES118","Ga0164293_10669818","NO CLASSIFICATION MH","Reverse transcriptase (RNA-dependent DNA polymerase)",1,1748765.24274931
"Ga0164293_107154871_GEODES118","Ga0164293_10715487","NO CLASSIFICATION MH","hypothetical protein",8,114862.283992622
"Ga0164293_107156371_GEODES118","Ga0164293_10715637","NO CLASSIFICATION MH","Reverse transcriptase (RNA-dependent DNA polymerase)",1,1412296.47710225
"Ga0164293_107665741_GEODES118","Ga0164293_10766574","None","hypothetical protein",1,692707.676958617
"Ga0164293_108218581_GEODES118","Ga0164293_10821858","NO CLASSIFICATION MH","Pao retrotransposon peptidase/Pao retrotransposon peptidase",1,1633628.37873944
"Ga0164293_108353841_GEODES118","Ga0164293_10835384","None","hypothetical protein",1,189677.114041854
"Ga0164293_108473951_GEODES118","Ga0164293_10847395","None","hypothetical protein",2,124733.670299078
"Ga0164293_108715941_GEODES118","Ga0164293_10871594","None","hypothetical protein",1,261299.778606377
"Ga0164293_108778821_GEODES118","Ga0164293_10877882","None","hypothetical protein",1,2233339.29355633
"Ga0164293_108849192_GEODES118","Ga0164293_10884919","NO CLASSIFICATION MH","hypothetical protein",1,3451257.49668874
"Ga0164293_108942471_GEODES118","Ga0164293_10894247","None","hypothetical protein",2,183410.039126275
"Ga0164293_109090911_GEODES118","Ga0164293_10909091","None","hypothetical protein",9,36374.4861536074
"Ga0164293_109194751_GEODES118","Ga0164293_10919475","None","Protein of unknown function (DUF1759)",1,6093251.36373272
"Ga0164293_110697431_GEODES118","Ga0164293_11069743","NO CLASSIFICATION MH","hypothetical protein",9,131815.964954657
"Ga0164293_111589821_GEODES118","Ga0164293_11158982","NO CLASSIFICATION MH","hypothetical protein",1,1806806.41281772
"Ga0164293_113092511_GEODES118","Ga0164293_11309251","NO CLASSIFICATION MH","NAD(P)H-quinone oxidoreductase subunit 1",1,239851.761140567
"Ga0164293_113825951_GEODES118","Ga0164293_11382595","NO CLASSIFICATION MH","hypothetical protein",1,501373.400561742
"Ga0164293_114978141_GEODES118","Ga0164293_11497814","None","hypothetical protein",1,633656.25069636
"Ga0164293_115604571_GEODES118","Ga0164293_11560457","NO CLASSIFICATION MH","hypothetical protein",1,672337.30536649
"Ga0164293_115717181_GEODES118","Ga0164293_11571718","None","hypothetical protein",1,351700.801808376
"Ga0164293_116194371_GEODES118","Ga0164293_11619437","None","hypothetical protein",2,131848.405117483
"Ga0164293_116256351_GEODES118","Ga0164293_11625635","NO CLASSIFICATION MH","histone H2B",4,12614.4733631912
"Ga0164293_117047471_GEODES118","Ga0164293_11704747","NO CLASSIFICATION MH","hypothetical protein",1,140746.735054818
"Ga0164293_117135751_GEODES118","Ga0164293_11713575","NO CLASSIFICATION MH","Pao retrotransposon peptidase",1,683637.895906525
"Ga0164293_117350531_GEODES118","Ga0164293_11735053","NO CLASSIFICATION MH","F-type H+-transporting ATPase subunit beta",2,64023.7556490852
"Ga0164293_117359911_GEODES118","Ga0164293_11735991","NO CLASSIFICATION MH","small subunit ribosomal protein S2",1,159921.604442717
"Ga0164293_117369421_GEODES118","Ga0164293_11736942","NO CLASSIFICATION MH","Pao retrotransposon peptidase",1,1098725.931285
"Ga0164293_117851591_GEODES118","Ga0164293_11785159","None","hypothetical protein",1,159877.973783003
"Ga0164293_117960861_GEODES118","Ga0164293_11796086","NO CLASSIFICATION MH","Pao retrotransposon peptidase",1,539684.532615267
"Ga0164293_118495601_GEODES118","Ga0164293_11849560","NO CLASSIFICATION MH","photosystem II CP43 chlorophyll apoprotein",1,161217.713209492
"Ga0164293_120377411_GEODES118","Ga0164293_12037741","NO CLASSIFICATION MH","hypothetical protein",1,801363.74456572
"Ga0164293_120565331_GEODES118","Ga0164293_12056533","NO CLASSIFICATION MH","Pao retrotransposon peptidase",1,351893.060133952
"Ga0164293_120590561_GEODES118","Ga0164293_12059056","None","hypothetical protein",1,1325307.55353247
"Ga0164293_120865221_GEODES118","Ga0164293_12086522","None","hypothetical protein",1,1600193.23204002
"Ga0164293_121608411_GEODES118","Ga0164293_12160841","None","hypothetical protein",10,170591.898144371
"Ga0164293_122532351_GEODES118","Ga0164293_12253235","NO CLASSIFICATION MH","actin beta/gamma 1/actin/actin",1,81060.7391683642
"Ga0164294_1000009654_GEODES005","Ga0164294_10000096","Bacteria;","photosystem II CP47 chlorophyll apoprotein",1,304139.218311048
"Ga0164294_10000120108_GEODES005","Ga0164294_10000120","NO CLASSIFICATION LP","photosystem II P680 reaction center D1 protein",1,645496.618651326
"Ga0164294_1000727613_GEODES005","Ga0164294_10007276","NO CLASSIFICATION LP","photosystem I subunit 2",1,210716.257792368
"Ga0164294_1000859612_GEODES005","Ga0164294_10008596","Bacteria;Cyanobacteria;unclassified Cyanobacteria;","photosystem II P680 reaction center D1 protein",1,9888731.12263785
"Ga0164294_1001519010_GEODES005","Ga0164294_10015190","NO CLASSIFICATION MH","photosystem II P680 reaction center D2 protein",1,1062130.11726616
"Ga0164294_100151909_GEODES005","Ga0164294_10015190","NO CLASSIFICATION MH","photosystem II CP43 chlorophyll apoprotein",1,619331.736773535
"Ga0164294_100187693_GEODES005","Ga0164294_10018769","Bacteria;Cyanobacteria;unclassified Cyanobacteria;","F-type H+-transporting ATPase subunit a",2,1530300.94354735
"Ga0164294_100187694_GEODES005","Ga0164294_10018769","Bacteria;Cyanobacteria;unclassified Cyanobacteria;","F-type H+-transporting ATPase subunit c",2,4204791.99482349
"Ga0164294_100187695_GEODES005","Ga0164294_10018769","Bacteria;Cyanobacteria;unclassified Cyanobacteria;","hypothetical protein",2,245301.140543278
"Ga0164294_1002633810_GEODES005","Ga0164294_10026338","NO CLASSIFICATION MH","photosystem II CP47 chlorophyll apoprotein",1,167349.685127853
"Ga0164294_100331852_GEODES005","Ga0164294_10033185","Bacteria;Cyanobacteria;unclassified Cyanobacteria;","ferredoxin",1,688709.410144611
"Ga0164294_100331854_GEODES005","Ga0164294_10033185","Bacteria;Cyanobacteria;unclassified Cyanobacteria;","elongation factor Tu",2,897088.997583729
"Ga0164294_100466601_GEODES005","Ga0164294_10046660","Bacteria;Cyanobacteria;","photosystem II P680 reaction center D1 protein",1,2104481.31828234
"Ga0164294_100496322_GEODES005","Ga0164294_10049632","NO CLASSIFICATION MH","photosystem II CP43 chlorophyll apoprotein",1,1184637.09218687
"Ga0164294_100748702_GEODES005","Ga0164294_10074870","NO CLASSIFICATION MH","photosystem I P700 chlorophyll a apoprotein A2",2,104401.743049391
"Ga0164294_100758231_GEODES005","Ga0164294_10075823","NO CLASSIFICATION MH","photosystem II P680 reaction center D1 protein",1,4796770.67343594
"Ga0164294_100832373_GEODES005","Ga0164294_10083237","NO CLASSIFICATION MH","F-type H+-transporting ATPase subunit c",1,707165.645635167
"Ga0164294_100967884_GEODES005","Ga0164294_10096788","Bacteria;Proteobacteria;Betaproteobacteria;unclassified Betaproteobacteria;unclassified Betaproteobacteria;Zwartia;","small subunit ribosomal protein S8",2,220360.51765234
"Ga0164294_101089903_GEODES005","Ga0164294_10108990","Bacteria;Proteobacteria;Betaproteobacteria;unclassified Betaproteobacteria;unclassified Betaproteobacteria;Zwartia;","large subunit ribosomal protein L14",3,304270.564941389
"Ga0164294_101287822_GEODES005","Ga0164294_10128782","NO CLASSIFICATION MH","F-type H+-transporting ATPase subunit alpha",3,3290384.72817163
"Ga0164294_101311702_GEODES005","Ga0164294_10131170","Bacteria;Proteobacteria;Betaproteobacteria;unclassified Betaproteobacteria;unclassified Betaproteobacteria;Zwartia;Zwartia alpina;","large subunit ribosomal protein L22",2,386630.404105364
"Ga0164294_101563061_GEODES005","Ga0164294_10156306","NO CLASSIFICATION MH","photosystem II P680 reaction center D1 protein",1,1239891.80709632
"Ga0164294_101795661_GEODES005","Ga0164294_10179566","NO CLASSIFICATION MH","ribulose-bisphosphate carboxylase large chain",2,100806.707766299
"Ga0164294_101804111_GEODES005","Ga0164294_10180411","NO CLASSIFICATION MH","cytochrome b6-f complex subunit 4",2,506708.995659112
"Ga0164294_101824422_GEODES005","Ga0164294_10182442","NO CLASSIFICATION MH","photosystem II P680 reaction center D1 protein",2,146793409.342141
"Ga0164294_101825042_GEODES005","Ga0164294_10182504","None","YHYH protein",3,274998.553843087
"Ga0164294_101857041_GEODES005","Ga0164294_10185704","NO CLASSIFICATION MH","photosystem II P680 reaction center D2 protein",3,3762950.17127945
"Ga0164294_101866171_GEODES005","Ga0164294_10186617","NO CLASSIFICATION MH","F-type H+-transporting ATPase subunit alpha",1,254714.727614381
"Ga0164294_101901152_GEODES005","Ga0164294_10190115","NO CLASSIFICATION MH","ribulose-bisphosphate carboxylase large chain",1,289908.257369293
"Ga0164294_102111603_GEODES005","Ga0164294_10211160","NO CLASSIFICATION MH","photosystem II P680 reaction center D1 protein",1,6008306.86452391
"Ga0164294_102334861_GEODES005","Ga0164294_10233486","NO CLASSIFICATION MH","ribulose-bisphosphate carboxylase large chain",1,6624827.60592815
"Ga0164294_102334862_GEODES005","Ga0164294_10233486","NO CLASSIFICATION MH","ribulose-bisphosphate carboxylase small chain",1,1457646.66535566
"Ga0164294_102372591_GEODES005","Ga0164294_10237259","NO CLASSIFICATION MH","cytochrome b6",1,142318.516120934
"Ga0164294_102661282_GEODES005","Ga0164294_10266128","NO CLASSIFICATION MH","histone H2B",15,541798.420810297
"Ga0164294_102743361_GEODES005","Ga0164294_10274336","NO CLASSIFICATION MH","photosystem II P680 reaction center D1 protein",1,18626085.5368307
"Ga0164294_102808332_GEODES005","Ga0164294_10280833","NO CLASSIFICATION MH","ribulose-bisphosphate carboxylase large chain",1,2452467.7163799
"Ga0164294_102902672_GEODES005","Ga0164294_10290267","NO CLASSIFICATION MH","F-type H+-transporting ATPase subunit c",2,538415.282089578
"Ga0164294_102934951_GEODES005","Ga0164294_10293495","None","hypothetical protein",3,76894.0835938154
"Ga0164294_103266912_GEODES005","Ga0164294_10326691","NO CLASSIFICATION MH","ribulose-bisphosphate carboxylase large chain",1,1920854.34884687
"Ga0164294_103355801_GEODES005","Ga0164294_10335580","NO CLASSIFICATION MH","heat shock protein 5",4,286098.569893264
"Ga0164294_103377122_GEODES005","Ga0164294_10337712","NO CLASSIFICATION MH","peptidyl-prolyl cis-trans isomerase C",4,75523.5415233357
"Ga0164294_103720401_GEODES005","Ga0164294_10372040","NO CLASSIFICATION MH","photosystem I P700 chlorophyll a apoprotein A1",1,561595.552232875
"Ga0164294_104079091_GEODES005","Ga0164294_10407909","NO CLASSIFICATION MH","photosystem II P680 reaction center D1 protein",1,9758489.24808993
"Ga0164294_104137061_GEODES005","Ga0164294_10413706","NO CLASSIFICATION MH","Actin-related protein/Actin-related protein",4,2148848.78388255
"Ga0164294_104279311_GEODES005","Ga0164294_10427931","NO CLASSIFICATION MH","ribulose-bisphosphate carboxylase large chain",2,737436.647804621
"Ga0164294_104394121_GEODES005","Ga0164294_10439412","NO CLASSIFICATION MH","calcium/calmodulin-dependent protein kinase-4",3,235036.725114164
"Ga0164294_104906211_GEODES005","Ga0164294_10490621","NO CLASSIFICATION MH","photosystem II CP47 chlorophyll apoprotein",1,569880.060069017
"Ga0164294_105568022_GEODES005","Ga0164294_10556802","None","hypothetical protein",7,357728.679395584
