"Gene","Genome","Taxonomy","Product","Cluster","Totals","Phylum"
"A397DRAFT_00759_2264265190","2264265190","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-A;acI-A7","NADH dehydrogenase",18,18497.1191913606,"Actinobacteria"
"A44N4DRAFT_00003280_2236661005","2236661005","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-A;acI-A7","protein RecA",3,35083.5676281357,"Actinobacteria"
"cds26226_369863_huxleyi","GCF_000372725.1_Emiliana_huxleyi_CCMP1516_main_genome_assembly_v1.0_genomic","Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,huxleyi","putative actin",33,30293.3169480411,"Haptophyta"
"D408DRAFT_00486_2545555832","2545555832","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-A;acI-A6","L-glutamine synthetase (EC 6.3.1.2)",11,78797.5725232119,"Actinobacteria"
"D408DRAFT_00494_2545555832","2545555832","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-A;acI-A6","inositol 1-phosphate synthase",10,241467.093474972,"Actinobacteria"
"D412DRAFT_00508_2524023175","2524023175","Verrucomicrobia;Opitutae;Opitutales;;;","hypothetical protein",19,45578.2001850434,"Verrucomicrobia"
"D413DRAFT_00043_2524023174","2524023174","Proteobacteria;Betaproteobacteria;Burkholderiales;betI;betI-A;Lhab-A1","Acetyltransferases",5,28795.7184171385,"Proteobacteria"
"D413DRAFT_00081_2524023174","2524023174","Proteobacteria;Betaproteobacteria;Burkholderiales;betI;betI-A;Lhab-A1","ribosome biogenesis GTP-binding protein YlqF",11,13869.3406097323,"Proteobacteria"
"D413DRAFT_00478_2524023174","2524023174","Proteobacteria;Betaproteobacteria;Burkholderiales;betI;betI-A;Lhab-A1","TRAP transporter",19,12337.3825637203,"Proteobacteria"
"D413DRAFT_00605_2524023174","2524023174","Proteobacteria;Betaproteobacteria;Burkholderiales;betI;betI-A;Lhab-A1","glutamine--fructose-6-phosphate transaminase",23,36415.0649932188,"Proteobacteria"
"D413DRAFT_00636_2524023174","2524023174","Proteobacteria;Betaproteobacteria;Burkholderiales;betI;betI-A;Lhab-A1","Integral membrane protein CcmA involved in cell shape determination",13,20599.0201829148,"Proteobacteria"
"D413DRAFT_00652_2524023174","2524023174","Proteobacteria;Betaproteobacteria;Burkholderiales;betI;betI-A;Lhab-A1","DNA-directed RNA polymerase subunit beta' (EC 2.7.7.6)",13,2220928.28272069,"Proteobacteria"
"D413DRAFT_00676_2524023174","2524023174","Proteobacteria;Betaproteobacteria;Burkholderiales;betI;betI-A;Lhab-A1","LSU ribosomal protein L17P",13,230024.054723537,"Proteobacteria"
"D413DRAFT_00698_2524023174","2524023174","Proteobacteria;Betaproteobacteria;Burkholderiales;betI;betI-A;Lhab-A1","FAD/FMN-containing dehydrogenases",13,280713.019391833,"Proteobacteria"
"D413DRAFT_00784_2524023174","2524023174","Proteobacteria;Betaproteobacteria;Burkholderiales;betI;betI-A;Lhab-A1","nitrile hydratase",5,14286.8271799723,"Proteobacteria"
"D413DRAFT_00794_2524023174","2524023174","Proteobacteria;Betaproteobacteria;Burkholderiales;betI;betI-A;Lhab-A1","putative membrane protein insertion efficiency factor",19,95476.5762799688,"Proteobacteria"
"D413DRAFT_00824_2524023174","2524023174","Proteobacteria;Betaproteobacteria;Burkholderiales;betI;betI-A;Lhab-A1","transketolase (EC 2.2.1.1)",1,92143.7335157643,"Proteobacteria"
"D413DRAFT_00836_2524023174","2524023174","Proteobacteria;Betaproteobacteria;Burkholderiales;betI;betI-A;Lhab-A1","N-acetyl-gamma-glutamyl-phosphate reductase (EC 1.2.1.38)",31,28117.8941921571,"Proteobacteria"
"D413DRAFT_00965_2524023174","2524023174","Proteobacteria;Betaproteobacteria;Burkholderiales;betI;betI-A;Lhab-A1","aspartate kinase (EC 2.7.2.4)",1,171122.82332178,"Proteobacteria"
"D413DRAFT_00985_2524023174","2524023174","Proteobacteria;Betaproteobacteria;Burkholderiales;betI;betI-A;Lhab-A1","riboflavin synthase alpha chain (EC 2.5.1.9)",13,54465.8523953603,"Proteobacteria"
"D413DRAFT_01050_2524023174","2524023174","Proteobacteria;Betaproteobacteria;Burkholderiales;betI;betI-A;Lhab-A1","protease FtsH subunit HflK",13,75470.2385278965,"Proteobacteria"
"D413DRAFT_01136_2524023174","2524023174","Proteobacteria;Betaproteobacteria;Burkholderiales;betI;betI-A;Lhab-A1","FeS cluster assembly scaffold IscU",5,37355.8302700426,"Proteobacteria"
"D413DRAFT_01649_2524023174","2524023174","Proteobacteria;Betaproteobacteria;Burkholderiales;betI;betI-A;Lhab-A1","ribosomal protein L19",1,1131801.154062,"Proteobacteria"
"D413DRAFT_01712_2524023174","2524023174","Proteobacteria;Betaproteobacteria;Burkholderiales;betI;betI-A;Lhab-A1","hypothetical protein",5,16787.6821123976,"Proteobacteria"
"D416DRAFT_00260_2545555807","2545555807","Bacteroidetes;Sphingobacteria;Sphingobacteriales;bacI;bacI-A;bacI-A1","ATP synthase F1 subcomplex alpha subunit",23,115159.480086475,"Bacteroidetes"
"D416DRAFT_00925_2545555807","2545555807","Bacteroidetes;Sphingobacteria;Sphingobacteriales;bacI;bacI-A;bacI-A1","vacuolar-type H(+)-translocating pyrophosphatase",5,44232.9349142044,"Bacteroidetes"
"D417DRAFT_00266_2524023189","2524023189","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B4","LSU ribosomal protein L2P",10,138898.119149688,"Actinobacteria"
"D465DRAFT_02131_2541046968","2541046968","Bacteroidetes;Flavobacteriia;Flavobacteriales;bacII;bacII-A;Flavo-A2","cold-shock DNA-binding protein family",3,75283.8423417246,"Bacteroidetes"
"G005DRAFT_00207_2519899769","2519899769","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-A;acI-A7","nucleoside-binding protein",1,96519.8128134927,"Actinobacteria"
"G005DRAFT_00928_2519899769","2519899769","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-A;acI-A7","succinate dehydrogenase subunit A (EC 1.3.5.1)",8,15137.7118045427,"Actinobacteria"
"Ga0005093_1183_2602042083","2602042083","Verrucomicrobia;Not classified;Not classified;;;","Tetratrico peptide repeat/TPR repeat/Tetratricopeptide repeat",1,28624.1560231466,"Verrucomicrobia"
"Ga0005093_1249_2602042083","2602042083","Verrucomicrobia;Not classified;Not classified;;;","maltodextrin phosphorylase",25,14246.0135641079,"Verrucomicrobia"
"Ga0005096_107146_2606217735","2606217735","Actinobacteria;Actinobacteria;Actinomicrobiales;acIV;acIV-B;Iluma-B1","LSU ribosomal protein L6P",5,17993.9335697529,"Actinobacteria"
"Ga0005103_10721_2606217190","2606217190","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-A;acI-A5","Peptidoglycan/LPS O-acetylase OafA/YrhL",29,144506.902903555,"Actinobacteria"
"Ga0005104_111266_2606217199","2606217199","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-A;acI-A5","hypothetical protein",18,12642.9159515257,"Actinobacteria"
"Ga0164292_1000002277_GEODES117","Ga0164292_10000022","Cyanobacteria;unclassified Cyanobacteria;","molecular chaperone DnaK",12,34175.6437569624,"Cyanobacteria"
"Ga0164292_1000014728_GEODES117","Ga0164292_10000147","Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sandarakinorhabdus;Sandarakinorhabdus limnophila;","Outer membrane protein OmpA",16,53122.5729143275,"Proteobacteria"
"Ga0164292_1000050426_GEODES117","Ga0164292_10000504","Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sandarakinorhabdus;","trigger factor",31,54203.7839986904,"Proteobacteria"
"Ga0164292_1000088415_GEODES117","Ga0164292_10000884","NO CLASSIFICATION LP","F-type H+-transporting ATPase subunit alpha",1,493380.477947712,"Unclassified"
"Ga0164292_1000114017_GEODES117","Ga0164292_10001140","Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;","cytochrome c oxidase subunit 1",18,13261.9023070253,"Proteobacteria"
"Ga0164292_100012988_GEODES117","Ga0164292_10001298","Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;","tRNA (guanine37-N1)-methyltransferase",19,34435.2596399505,"Proteobacteria"
"Ga0164292_100015305_GEODES117","Ga0164292_10001530","Cyanobacteria;unclassified Cyanobacteria;","phycoerythrin beta chain",1,2277667.62114805,"Cyanobacteria"
"Ga0164292_100015714_GEODES117","Ga0164292_10001571","Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;","transcription termination factor Rho",1,72734.6345978159,"Proteobacteria"
"Ga0164292_100016383_GEODES117","Ga0164292_10001638","Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;","aminomethyltransferase",28,26269.289693687,"Proteobacteria"
"Ga0164292_1000171015_GEODES117","Ga0164292_10001710","Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;","undecaprenyl-diphosphatase",28,30552.5717016837,"Proteobacteria"
"Ga0164292_100026235_GEODES117","Ga0164292_10002623","Proteobacteria;Deltaproteobacteria;Bdellovibrionales;","Rrf2 family transcriptional regulator, iron-sulfur cluster assembly transcription factor",21,33713.2559737646,"Proteobacteria"
"Ga0164292_100042918_GEODES117","Ga0164292_10004291","Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;","cAMP-binding domain of CRP or a regulatory subunit of cAMP-dependent protein kinases",12,69012.6884163018,"Proteobacteria"
"Ga0164292_100047847_GEODES117","Ga0164292_10004784","Actinobacteria;Actinobacteria;unclassified Actinobacteria;unclassified Actinobacteria;unclassified Actinobacteria;","cell division inhibitor SepF",10,40742.7881082404,"Actinobacteria"
"Ga0164292_1000540515_GEODES117","Ga0164292_10005405","Bacteroidetes;","large subunit ribosomal protein L11",30,15440.6716508779,"Bacteroidetes"
"Ga0164292_1000545810_GEODES117","Ga0164292_10005458","Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;","small subunit ribosomal protein S3",8,35778.4261238569,"Proteobacteria"
"Ga0164292_100057402_GEODES117","Ga0164292_10005740","Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;","malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase",23,42962.2843645266,"Proteobacteria"
"Ga0164292_100059602_GEODES117","Ga0164292_10005960","Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;","acyl-CoA dehydrogenase",31,53784.7303096817,"Proteobacteria"
"Ga0164292_100073075_GEODES117","Ga0164292_10007307","Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;","alkyl hydroperoxide reductase subunit F",13,111666.429182419,"Proteobacteria"
"Ga0164292_100076296_GEODES117","Ga0164292_10007629","Bacteroidetes;Chitinophagia;Chitinophagales;","D-3-phosphoglycerate dehydrogenase",13,12410.1727446565,"Bacteroidetes"
"Ga0164292_100079808_GEODES117","Ga0164292_10007980","Proteobacteria;Betaproteobacteria;Burkholderiales;","Phosphohistidine phosphatase SixA",20,69858.2208553844,"Proteobacteria"
"Ga0164292_100084463_GEODES117","Ga0164292_10008446","Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;","threonyl-tRNA synthetase",1,23158.4607007328,"Proteobacteria"
"Ga0164292_100084634_GEODES117","Ga0164292_10008463","Bacteroidetes;","Bacteriorhodopsin",28,128016.151311089,"Bacteroidetes"
"Ga0164292_100089987_GEODES117","Ga0164292_10008998","Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;","molybdopterin molybdotransferase",1,203062.249663167,"Proteobacteria"
"Ga0164292_100093163_GEODES117","Ga0164292_10009316","Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;","NitT/TauT family transport system ATP-binding protein",8,194747.138215169,"Proteobacteria"
"Ga0164292_100096703_GEODES117","Ga0164292_10009670","Proteobacteria;Betaproteobacteria;Burkholderiales;","acyl-CoA dehydrogenase",1,178525.357379642,"Proteobacteria"
"Ga0164292_100103158_GEODES117","Ga0164292_10010315","NO CLASSIFICATION MH","F-type H+-transporting ATPase subunit c",1,113624.19330457,"Unclassified"
"Ga0164292_100109566_GEODES117","Ga0164292_10010956","Actinobacteria;Actinobacteria;unclassified Actinobacteria;unclassified Actinobacteria;unclassified Actinobacteria;","Fe-S cluster assembly protein SufB",1,104196.73569335,"Actinobacteria"
"Ga0164292_100139042_GEODES117","Ga0164292_10013904","NO CLASSIFICATION MH","Reverse transcriptase (RNA-dependent DNA polymerase)",1,87069.3422720357,"Unclassified"
"Ga0164292_100144855_GEODES117","Ga0164292_10014485","Bacteroidetes;Flavobacteriia;Flavobacteriales;","hypothetical protein",6,16813.7477258441,"Bacteroidetes"
"Ga0164292_100148165_GEODES117","Ga0164292_10014816","Bacteroidetes;","regulator of sigma E protease",26,25527.6189171584,"Bacteroidetes"
"Ga0164292_100155483_GEODES117","Ga0164292_10015548","Proteobacteria;Betaproteobacteria;","chlorophyllide a reductase subunit X",4,566521.311644081,"Proteobacteria"
"Ga0164292_100162451_GEODES117","Ga0164292_10016245","Bacteroidetes;Cytophagia;Cytophagales;Cyclobacteriaceae;Algoriphagus;","TonB-dependent Receptor Plug Domain/CarboxypepD_reg-like domain-containing protein",1,110431.299794312,"Bacteroidetes"
"Ga0164292_100169781_GEODES117","Ga0164292_10016978","Actinobacteria;Actinobacteria;unclassified Actinobacteria;unclassified Actinobacteria;unclassified Actinobacteria;","GTP pyrophosphokinase",21,25385.0982816114,"Actinobacteria"
"Ga0164292_100176181_GEODES117","Ga0164292_10017618","","chaperonin GroEL",24,18956.1634764609,NA
"Ga0164292_100180106_GEODES117","Ga0164292_10018010","Actinobacteria;Actinobacteria;","chaperonin GroEL",20,13700.4370788726,"Actinobacteria"
"Ga0164292_100180944_GEODES117","Ga0164292_10018094","Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;","hypothetical protein",12,12893.3799230038,"Bacteroidetes"
"Ga0164292_100191324_GEODES117","Ga0164292_10019132","Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;Prosthecobacter;","elongation factor Ts",28,48104.9420148243,"Verrucomicrobia"
"Ga0164292_100191381_GEODES117","Ga0164292_10019138","","perosamine synthetase",8,40859.121220287,NA
"Ga0164292_1001917215_GEODES117","Ga0164292_10019172","NO CLASSIFICATION MH","hypothetical protein",7,16811.6056430489,"Unclassified"
"Ga0164292_100195903_GEODES117","Ga0164292_10019590","Proteobacteria;Betaproteobacteria;","UPF0755 protein",8,104245.765177121,"Proteobacteria"
"Ga0164292_100199623_GEODES117","Ga0164292_10019962","Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;","Multidrug efflux pump subunit AcrB",1,26587.4341438022,"Proteobacteria"
"Ga0164292_100227633_GEODES117","Ga0164292_10022763","Actinobacteria;","Predicted PurR-regulated permease PerM",9,28714.2607475712,"Actinobacteria"
"Ga0164292_100230661_GEODES117","Ga0164292_10023066","Proteobacteria;Betaproteobacteria;Burkholderiales;","large subunit ribosomal protein L7/L12",1,48353.8443133017,"Proteobacteria"
"Ga0164292_100230662_GEODES117","Ga0164292_10023066","Proteobacteria;Betaproteobacteria;Burkholderiales;","large subunit ribosomal protein L10",8,53989.2764767118,"Proteobacteria"
"Ga0164292_100263046_GEODES117","Ga0164292_10026304","Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Polynucleobacter;","Protein of unknown function (DUF2863)",17,22369.344231667,"Proteobacteria"
"Ga0164292_100292272_GEODES117","Ga0164292_10029227","Proteobacteria;Betaproteobacteria;Burkholderiales;","photosynthetic reaction center L subunit",4,69485.0064993859,"Proteobacteria"
"Ga0164292_100292273_GEODES117","Ga0164292_10029227","Proteobacteria;Betaproteobacteria;Burkholderiales;","photosynthetic reaction center M subunit",15,56138.852727361,"Proteobacteria"
"Ga0164292_100292274_GEODES117","Ga0164292_10029227","Proteobacteria;Betaproteobacteria;Burkholderiales;","photosynthetic reaction center cytochrome c subunit",4,89828.4214450805,"Proteobacteria"
"Ga0164292_100292275_GEODES117","Ga0164292_10029227","Proteobacteria;Betaproteobacteria;Burkholderiales;","spheroidene monooxygenase",15,20589.6169116603,"Proteobacteria"
"Ga0164292_100292574_GEODES117","Ga0164292_10029257","NO CLASSIFICATION MH","hypothetical protein",26,15431.5110566542,"Unclassified"
"Ga0164292_100302361_GEODES117","Ga0164292_10030236","NO CLASSIFICATION MH","porin",16,15168.9440585035,"Unclassified"
"Ga0164292_100323322_GEODES117","Ga0164292_10032332","Proteobacteria;Betaproteobacteria;Burkholderiales;unclassified Burkholderiales;","photosynthetic reaction center H subunit",4,409722.256088396,"Proteobacteria"
"Ga0164292_100331971_GEODES117","Ga0164292_10033197","Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;","leucyl-tRNA synthetase",16,21636.6605784919,"Proteobacteria"
"Ga0164292_100333004_GEODES117","Ga0164292_10033300","NO CLASSIFICATION MH","hypothetical protein",5,20710.8957143127,"Unclassified"
"Ga0164292_100334281_GEODES117","Ga0164292_10033428","Proteobacteria;","two-component system, response regulator FlrC",1,24249.2612085382,"Proteobacteria"
"Ga0164292_100345321_GEODES117","Ga0164292_10034532","NO CLASSIFICATION MH","ATP-dependent helicase/nuclease subunit B",12,33880.840146429,"Unclassified"
"Ga0164292_100362646_GEODES117","Ga0164292_10036264","Proteobacteria;Betaproteobacteria;","large subunit ribosomal protein L4",1,38034.9960513901,"Proteobacteria"
"Ga0164292_100374974_GEODES117","Ga0164292_10037497","NO CLASSIFICATION MH","HlyD family secretion protein",5,27146.2550007628,"Unclassified"
"Ga0164292_100376151_GEODES117","Ga0164292_10037615","NO CLASSIFICATION MH","Repeat domain-containing protein/Repeat domain-containing protein/FG-GAP repeat-containing protein/FG-GAP repeat-containing protein",11,43038.094202594,"Unclassified"
"Ga0164292_100388622_GEODES117","Ga0164292_10038862","NO CLASSIFICATION MH","malate dehydrogenase",8,93533.9111434811,"Unclassified"
"Ga0164292_100397631_GEODES117","Ga0164292_10039763","NO CLASSIFICATION MH","phycoerythrin-associated linker protein",4,121490.145422353,"Unclassified"
"Ga0164292_100397632_GEODES117","Ga0164292_10039763","NO CLASSIFICATION MH","phycoerythrin-associated linker protein",4,139837.757525532,"Unclassified"
"Ga0164292_100415403_GEODES117","Ga0164292_10041540","Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;","hypothetical protein",0,29139.986132071,"Proteobacteria"
"Ga0164292_100423782_GEODES117","Ga0164292_10042378","Proteobacteria;Betaproteobacteria;","elongation factor G",1,128095.936329172,"Proteobacteria"
"Ga0164292_100427064_GEODES117","Ga0164292_10042706","","Formylglycine-generating enzyme, required for sulfatase activity, contains SUMF1/FGE domain",2,67524.8157401073,NA
"Ga0164292_100432111_GEODES117","Ga0164292_10043211","NO CLASSIFICATION MH","hypothetical protein",3,51650.4706185475,"Unclassified"
"Ga0164292_100433393_GEODES117","Ga0164292_10043339","","flagellar basal-body rod protein FlgG",12,31840.30202029,NA
"Ga0164292_100452394_GEODES117","Ga0164292_10045239","Planctomycetes;Planctomycetia;","large subunit ribosomal protein L21",12,24794.2860925548,"Planctomycetes"
"Ga0164292_100483711_GEODES117","Ga0164292_10048371","Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;","tryptophan synthase beta chain",18,16536.1984572456,"Verrucomicrobia"
"Ga0164292_100521181_GEODES117","Ga0164292_10052118","NO CLASSIFICATION MH","elongation factor Ts",3,77543.4172872025,"Unclassified"
"Ga0164292_100587211_GEODES117","Ga0164292_10058721","NO CLASSIFICATION MH","hypothetical protein",18,20204.8270447054,"Unclassified"
"Ga0164292_100588802_GEODES117","Ga0164292_10058880","NO CLASSIFICATION MH","ATP-dependent RNA helicase DeaD",22,18761.7726863059,"Unclassified"
"Ga0164292_100593802_GEODES117","Ga0164292_10059380","Actinobacteria;Actinobacteria;unclassified Actinobacteria;unclassified Actinobacteria;unclassified Actinobacteria;","L-rhamnose mutarotase",5,26884.4738966591,"Actinobacteria"
"Ga0164292_100614881_GEODES117","Ga0164292_10061488","NO CLASSIFICATION MH","Outer membrane receptor proteins, mostly Fe transport",38,13191.5076963591,"Unclassified"
"Ga0164292_100620424_GEODES117","Ga0164292_10062042","Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobia subdivision 3;Pedosphaera;","transcriptional antiterminator NusG",5,33731.3307248529,"Verrucomicrobia"
"Ga0164292_100650021_GEODES117","Ga0164292_10065002","NO CLASSIFICATION MH","Reverse transcriptase (RNA-dependent DNA polymerase)",17,49468.8825384385,"Unclassified"
"Ga0164292_100656722_GEODES117","Ga0164292_10065672","NO CLASSIFICATION MH","light-independent protochlorophyllide reductase subunit N",6,17427.6822209306,"Unclassified"
"Ga0164292_100657302_GEODES117","Ga0164292_10065730","NO CLASSIFICATION MH","phytoene synthase",4,859516.942521082,"Unclassified"
"Ga0164292_100660561_GEODES117","Ga0164292_10066056","NO CLASSIFICATION MH","Fe-S-cluster-containing hydrogenase component 2/cAMP-binding domain of CRP or a regulatory subunit of cAMP-dependent protein kinases/Thioredoxin reductase/Signal-transduction protein containing cAMP-binding, CBS, and nucleotidyltransferase domains",12,19847.6258186294,"Unclassified"
"Ga0164292_100691203_GEODES117","Ga0164292_10069120","Actinobacteria;Actinobacteria;","cysteine synthase A",2,251392.690959619,"Actinobacteria"
"Ga0164292_100693393_GEODES117","Ga0164292_10069339","NO CLASSIFICATION MH","Ion transport protein/Ion transport protein",33,27144.172922821,"Unclassified"
