"Gene","Genome","Taxonomy","Product","Cluster","Totals"
"Ga0164293_104039431_GEODES118","Ga0164293_10403943","NO CLASSIFICATION MH","F-type H+-transporting ATPase subunit alpha",2,7899574.68292861
"Ga0164293_105185841_GEODES118","Ga0164293_10518584","NO CLASSIFICATION MH","testis-specific kinase 1",1,5294571.04080722
"Ga0164293_105857181_GEODES118","Ga0164293_10585718","NO CLASSIFICATION MH","hypothetical protein",8,106895836.196034
"Ga0164293_105949141_GEODES118","Ga0164293_10594914","NO CLASSIFICATION MH","2-oxoglutarate dehydrogenase E1 component",1,11406819.6924243
"Ga0164293_107588791_GEODES118","Ga0164293_10758879","None","hypothetical protein",1,19501867.4103182
"Ga0164293_110084821_GEODES118","Ga0164293_11008482","NO CLASSIFICATION MH","hypothetical protein",4,8380919.26969443
"Ga0164293_111974921_GEODES118","Ga0164293_11197492","NO CLASSIFICATION MH","hypothetical protein/hypothetical protein",8,3240732.25423144
"Ga0164293_116364311_GEODES118","Ga0164293_11636431","None","hypothetical protein",8,86362103.1069965
"Ga0164293_117349301_GEODES118","Ga0164293_11734930","NO CLASSIFICATION MH","ubiquitin C",1,4334878.91735485
"Ga0164293_118401351_GEODES118","Ga0164293_11840135","NO CLASSIFICATION MH","hypothetical protein",1,69777506.6615987
"Ga0164293_119098341_GEODES118","Ga0164293_11909834","None","hypothetical protein",1,20128983.1805259
"Ga0164293_122593771_GEODES118","Ga0164293_12259377","None","hypothetical protein",4,4824648.48672576
"Ga0164294_10000001349_GEODES005","Ga0164294_10000001","Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;","K(+)-stimulated pyrophosphate-energized sodium pump",1,17319914.8920541
"Ga0164294_10000001693_GEODES005","Ga0164294_10000001","Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;","large subunit ribosomal protein L21",1,12619503.2376158
"Ga0164294_1000000210_GEODES005","Ga0164294_10000002","Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;","ornithine decarboxylase",1,18114265.1964055
"Ga0164294_10000002404_GEODES005","Ga0164294_10000002","Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;","small subunit ribosomal protein S7",1,11214946.8782867
"Ga0164294_10000002411_GEODES005","Ga0164294_10000002","Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;","large subunit ribosomal protein L2",1,32086034.4291288
"Ga0164294_10000004106_GEODES005","Ga0164294_10000004","Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;","F-type H+-transporting ATPase subunit b",1,14121702.023597
"Ga0164294_10000008214_GEODES005","Ga0164294_10000008","Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cyclobacteriaceae;Algoriphagus;","hypothetical protein",1,12612309.3536868
"Ga0164294_10000016212_GEODES005","Ga0164294_10000016","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;","chaperonin GroEL",3,22433006.5033373
"Ga0164294_1000002767_GEODES005","Ga0164294_10000027","Bacteria;Proteobacteria;","Peptide-N-glycosidase F, C terminal",7,20861585.5535951
"Ga0164294_1000003626_GEODES005","Ga0164294_10000036","Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;"," Predicted 5' DNA nuclease, flap endonuclease-1-like, helix-3-turn-helix (H3TH) domain",2,9595010.01428651
"Ga0164294_10000043120_GEODES005","Ga0164294_10000043","Bacteria;Proteobacteria;Alphaproteobacteria;","Uncharacterized conserved protein/Uncharacterized conserved protein",1,8931882.88541794
"Ga0164294_1000004424_GEODES005","Ga0164294_10000044","Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;","rod shape-determining protein MreB",1,21017490.9430157
"Ga0164294_1000005167_GEODES005","Ga0164294_10000051","Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;","Antenna complex alpha/beta subunit",6,422119598.593084
"Ga0164294_1000005193_GEODES005","Ga0164294_10000051","Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;","PH domain-containing protein",6,28092084.1258971
"Ga0164294_1000005196_GEODES005","Ga0164294_10000051","Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;","magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase",6,33965851.4053689
"Ga0164294_1000006858_GEODES005","Ga0164294_10000068","Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;","regulator RcnB of Ni and Co efflux",5,43890817.9951161
"Ga0164294_1000007468_GEODES005","Ga0164294_10000074","Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;","pilus assembly protein Flp/PilA",2,9495244.63884444
"Ga0164294_1000007489_GEODES005","Ga0164294_10000074","Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;","two-component system, cell cycle response regulator CtrA",2,14323540.0518994
"Ga0164294_1000008718_GEODES005","Ga0164294_10000087","Bacteria;Proteobacteria;","hypothetical protein",7,22705617.9168569
"Ga0164294_1000010220_GEODES005","Ga0164294_10000102","Bacteria;Proteobacteria;Alphaproteobacteria;","hypothetical protein",1,9627356.65448293
"Ga0164294_1000010954_GEODES005","Ga0164294_10000109","Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;","ubiquinone biosynthesis protein",1,8377798.4548806
"Ga0164294_1000011210_GEODES005","Ga0164294_10000112","Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;","3'(2'), 5'-bisphosphate nucleotidase",1,9575058.40410233
"Ga0164294_1000014541_GEODES005","Ga0164294_10000145","Bacteria;Proteobacteria;","DNA polymerase-1",7,9604369.09505616
"Ga0164294_1000014716_GEODES005","Ga0164294_10000147","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;","GTPase, G3E family",1,17261263.8253253
"Ga0164294_1000015066_GEODES005","Ga0164294_10000150","Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sandarakinorhabdus;","two-component system, sensor histidine kinase RegB",3,1677092.6091033
"Ga0164294_1000015710_GEODES005","Ga0164294_10000157","Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;","2-methylfumaryl-CoA hydratase",1,11569475.5795083
"Ga0164294_1000015719_GEODES005","Ga0164294_10000157","Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;","Murein DD-endopeptidase MepM and murein hydrolase activator NlpD, contain LysM domain",1,10928510.5741926
"Ga0164294_1000015724_GEODES005","Ga0164294_10000157","Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;","3-phosphoshikimate 1-carboxyvinyltransferase",1,9577375.22353738
"Ga0164294_1000016146_GEODES005","Ga0164294_10000161","Bacteria;Proteobacteria;","Uncharacterized conserved protein YkwD, contains CAP (CSP/antigen 5/PR1) domain",7,10545018.9825147
"Ga0164294_100001646_GEODES005","Ga0164294_10000164","Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;Prosthecobacter;","large subunit ribosomal protein L9",1,15731999.136699
"Ga0164294_1000017722_GEODES005","Ga0164294_10000177","Bacteria;Proteobacteria;","hypothetical protein",7,16494051.8723679
"Ga0164294_100001842_GEODES005","Ga0164294_10000184","Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sandarakinorhabdus;","5-aminolevulinate synthase",2,16741050.6060584
"Ga0164294_1000019615_GEODES005","Ga0164294_10000196","Bacteria;Proteobacteria;","hypothetical protein",7,12311437.5472294
"Ga0164294_1000020144_GEODES005","Ga0164294_10000201","NO CLASSIFICATION DUE TO FEW HITS IN PHYLODIST","Flagellar hook-length control protein FliK",1,6180866.8965639
"Ga0164294_1000021639_GEODES005","Ga0164294_10000216","Bacteria;Actinobacteria;Actinobacteria;","putative MFS transporter, AGZA family, xanthine/uracil permease",3,21614435.3219938
"Ga0164294_1000021645_GEODES005","Ga0164294_10000216","Bacteria;Actinobacteria;Actinobacteria;","Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase",1,7314062.52211947
"Ga0164294_1000021652_GEODES005","Ga0164294_10000216","Bacteria;Actinobacteria;Actinobacteria;","5-methyltetrahydrofolate--homocysteine methyltransferase",1,12633290.9085179
"Ga0164294_1000021851_GEODES005","Ga0164294_10000218","Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;","DNA polymerase-1",2,5696436.90880261
"Ga0164294_1000022233_GEODES005","Ga0164294_10000222","Bacteria;Proteobacteria;","hypothetical protein",7,13134964.5312113
"Ga0164294_100002365_GEODES005","Ga0164294_10000236","Bacteria;Proteobacteria;","hypothetical protein",7,11629266.0651218
"Ga0164294_1000023728_GEODES005","Ga0164294_10000237","Bacteria;Proteobacteria;","Lamin Tail Domain",7,31822121.9433106
"Ga0164294_1000024631_GEODES005","Ga0164294_10000246","Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;","glucuronate isomerase",7,3456252.95637312
"Ga0164294_1000028817_GEODES005","Ga0164294_10000288","Bacteria;Proteobacteria;","Chromosome partitioning ATPase, Mrp family, contains Fe-S cluster/Uncharacterized protein involved in exopolysaccharide biosynthesis",7,9724163.16960695
"Ga0164294_1000029027_GEODES005","Ga0164294_10000290","Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;","small subunit ribosomal protein S16",1,26720678.8295922
"Ga0164294_1000031824_GEODES005","Ga0164294_10000318","Bacteria;Armatimonadetes;Fimbriimonadia;Fimbriimonadales;Fimbriimonadaceae;Fimbriimonas;Fimbriimonas ginsengisoli;","hypothetical protein",1,30413695.2547393
"Ga0164294_1000034916_GEODES005","Ga0164294_10000349","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;","hypothetical protein",1,5057343.95151076
"Ga0164294_1000035237_GEODES005","Ga0164294_10000352","Bacteria;Proteobacteria;","flagellar P-ring protein precursor FlgI",7,22309254.7562852
"Ga0164294_1000035238_GEODES005","Ga0164294_10000352","Bacteria;Proteobacteria;","flagellar L-ring protein precursor FlgH",7,17098783.3970157
"Ga0164294_1000036111_GEODES005","Ga0164294_10000361","Bacteria;Proteobacteria;","Negative regulator of GroEL, contains thioredoxin-like and TPR-like domains",7,8314143.93266978
"Ga0164294_100003649_GEODES005","Ga0164294_10000364","Bacteria;Proteobacteria;","Signal transduction histidine kinase",7,14831838.0580874
"Ga0164294_1000038512_GEODES005","Ga0164294_10000385","Bacteria;Proteobacteria;","Serine/threonine protein phosphatase PrpC",7,9302626.50210216
"Ga0164294_1000038714_GEODES005","Ga0164294_10000387","Bacteria;Armatimonadetes;Fimbriimonadia;Fimbriimonadales;Fimbriimonadaceae;Fimbriimonas;Fimbriimonas ginsengisoli;","ATP-dependent Lon protease",1,21388747.8730444
"Ga0164294_100003954_GEODES005","Ga0164294_10000395","Bacteria;Bacteroidetes;","hypothetical protein",1,4551010.0234542
"Ga0164294_1000040817_GEODES005","Ga0164294_10000408","Bacteria;Actinobacteria;Actinobacteria;Micrococcales;","hypothetical protein",1,11634034.6289636
"Ga0164294_1000040914_GEODES005","Ga0164294_10000409","Bacteria;Actinobacteria;Actinobacteria;","NADH-quinone oxidoreductase subunit D",1,7326380.80256449
"Ga0164294_100004274_GEODES005","Ga0164294_10000427","Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;","dTDP-glucose 4,6-dehydratase",2,8110954.09213769
"Ga0164294_1000043626_GEODES005","Ga0164294_10000436","Bacteria;","gp32 DNA binding protein like",3,19427677.0909716
"Ga0164294_1000046212_GEODES005","Ga0164294_10000462","Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;","Outer membrane receptor proteins, mostly Fe transport",1,10408581.1997187
"Ga0164294_1000046910_GEODES005","Ga0164294_10000469","Bacteria;Bacteroidetes;","ubiquitin-conjugating enzyme E2 D/E",1,9437865.60159266
"Ga0164294_1000049511_GEODES005","Ga0164294_10000495","Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;","Putative beta-barrel porin-2, OmpL-like. bbp2",8,16076888.8710145
"Ga0164294_100004994_GEODES005","Ga0164294_10000499","Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;","alpha-L-rhamnosidase",1,16663536.7437593
"Ga0164294_1000052818_GEODES005","Ga0164294_10000528","Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;","hypothetical protein",1,43995745.2473365
"Ga0164294_100005499_GEODES005","Ga0164294_10000549","NO CLASSIFICATION LP","RecA/RadA recombinase",5,12199261.3309706
"Ga0164294_1000055241_GEODES005","Ga0164294_10000552","Bacteria;Armatimonadetes;Fimbriimonadia;Fimbriimonadales;Fimbriimonadaceae;Fimbriimonas;Fimbriimonas ginsengisoli;","6-phosphofructokinase 1",1,14433804.6470585
"Ga0164294_100005525_GEODES005","Ga0164294_10000552","Bacteria;Armatimonadetes;Fimbriimonadia;Fimbriimonadales;Fimbriimonadaceae;Fimbriimonas;Fimbriimonas ginsengisoli;","hypothetical protein",5,79232800.6750184
"Ga0164294_1000058916_GEODES005","Ga0164294_10000589","Bacteria;Bacteroidetes;","hypothetical protein",1,8911646.3223366
"Ga0164294_1000059114_GEODES005","Ga0164294_10000591","Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sandarakinorhabdus;","acetoacetate decarboxylase",2,9892491.73212961
"Ga0164294_100006819_GEODES005","Ga0164294_10000681","Bacteria;Proteobacteria;","acetyl-CoA acyltransferase",7,67469935.2169563
"Ga0164294_1000069524_GEODES005","Ga0164294_10000695","Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;","hypothetical protein",2,333409996.242054
"Ga0164294_1000069525_GEODES005","Ga0164294_10000695","Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;","DNA-binding transcriptional regulator, AcrR family",2,136765124.355815
"Ga0164294_1000069526_GEODES005","Ga0164294_10000695","Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;","polyhydroxyalkanoate synthase",2,103408065.034436
"Ga0164294_1000071512_GEODES005","Ga0164294_10000715","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;","PH domain-containing protein",6,52959475.7135752
"Ga0164294_100007159_GEODES005","Ga0164294_10000715","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;","magnesium-protoporphyrin O-methyltransferase",6,28390215.8238669
"Ga0164294_1000075112_GEODES005","Ga0164294_10000751","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;","light-harvesting complex 1 beta chain",6,7707142.2604435
"Ga0164294_1000075221_GEODES005","Ga0164294_10000752","Bacteria;Proteobacteria;","pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase)",7,27643216.5530686
"Ga0164294_1000075226_GEODES005","Ga0164294_10000752","Bacteria;Proteobacteria;","hypothetical protein",7,21524349.3674139
"Ga0164294_1000076117_GEODES005","Ga0164294_10000761","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;","DNA mismatch repair protein MutL",3,11246088.490475
"Ga0164294_1000076218_GEODES005","Ga0164294_10000762","Bacteria;Actinobacteria;Actinobacteria;","elongation factor Ts",1,6632143.72424074
"Ga0164294_1000076919_GEODES005","Ga0164294_10000769","Bacteria;Proteobacteria;","hypothetical protein",7,7712547.07513526
"Ga0164294_100007867_GEODES005","Ga0164294_10000786","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;","betaine-aldehyde dehydrogenase",2,15783507.460341
"Ga0164294_1000079318_GEODES005","Ga0164294_10000793","Bacteria;Proteobacteria;","Protein-S-isoprenylcysteine O-methyltransferase Ste14",7,8308227.82295237
"Ga0164294_100008268_GEODES005","Ga0164294_10000826","Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;","hypothetical protein",7,91427635.4359218
"Ga0164294_1000082816_GEODES005","Ga0164294_10000828","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;","recombination protein RecR",5,7458045.66960948
"Ga0164294_100008398_GEODES005","Ga0164294_10000839","Bacteria;Proteobacteria;","hypothetical protein",7,11146338.8861207
"Ga0164294_100008583_GEODES005","Ga0164294_10000858","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;","valyl-tRNA synthetase",1,6949710.99676334
"Ga0164294_1000092037_GEODES005","Ga0164294_10000920","Bacteria;Actinobacteria;Actinobacteria;","hypothetical protein",1,8248850.79588743
"Ga0164294_100009317_GEODES005","Ga0164294_10000931","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;","magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase",6,6506564.70391329
"Ga0164294_1000093312_GEODES005","Ga0164294_10000933","Bacteria;Proteobacteria;","regulator of sigma E protease",7,11343728.419615
"Ga0164294_1000093822_GEODES005","Ga0164294_10000938","Bacteria;Proteobacteria;","DNA-directed RNA polymerase, subunit K/omega",2,44427742.4240914
"Ga0164294_100009813_GEODES005","Ga0164294_10000981","Bacteria;Armatimonadetes;Fimbriimonadia;Fimbriimonadales;Fimbriimonadaceae;Fimbriimonas;Fimbriimonas ginsengisoli;","S1/P1 Nuclease",1,10457179.0685298
"Ga0164294_1000104125_GEODES005","Ga0164294_10001041","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;","ribose-phosphate pyrophosphokinase",2,34460811.4412534
"Ga0164294_1000104126_GEODES005","Ga0164294_10001041","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;","large subunit ribosomal protein L25",2,60953306.3344346
"Ga0164294_1000106424_GEODES005","Ga0164294_10001064","Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;","Cytochrome P450",1,7888166.98595952
"Ga0164294_100010663_GEODES005","Ga0164294_10001066","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;","large subunit ribosomal protein L20",2,63724289.8358967
"Ga0164294_1000108112_GEODES005","Ga0164294_10001081","Bacteria;Proteobacteria;","TonB protein C-terminal",2,13808100.8517163
"Ga0164294_100011303_GEODES005","Ga0164294_10001130","Bacteria;Proteobacteria;","CRISPR-associated protein Csd2",7,20685264.5013485
"Ga0164294_1000113625_GEODES005","Ga0164294_10001136","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;","small subunit ribosomal protein S20",2,61686598.2797232
"Ga0164294_100011364_GEODES005","Ga0164294_10001136","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;","Superfamily II DNA and RNA helicase",2,160445132.691385
"Ga0164294_100011365_GEODES005","Ga0164294_10001136","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;","large subunit ribosomal protein L19",2,47043804.8627509
"Ga0164294_100011368_GEODES005","Ga0164294_10001136","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;","small subunit ribosomal protein S16",2,25293838.5916404
"Ga0164294_100011734_GEODES005","Ga0164294_10001173","Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium;","cytochrome c",5,17088496.0816162
"Ga0164294_1000118711_GEODES005","Ga0164294_10001187","Bacteria;Proteobacteria;","hypothetical protein",7,11267486.1529652
"Ga0164294_1000123414_GEODES005","Ga0164294_10001234","Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;","PH domain-containing protein",6,11345132.1762802
"Ga0164294_100012811_GEODES005","Ga0164294_10001281","Bacteria;Proteobacteria;Gammaproteobacteria;","DNA gyrase subunit B",1,4899196.86709705
"Ga0164294_1000130916_GEODES005","Ga0164294_10001309","Bacteria;Proteobacteria;","chromosome partitioning protein",4,11247123.4882749
"Ga0164294_1000132313_GEODES005","Ga0164294_10001323","Bacteria;Armatimonadetes;Fimbriimonadia;Fimbriimonadales;Fimbriimonadaceae;Fimbriimonas;Fimbriimonas ginsengisoli;","Sugar phosphate isomerase/epimerase",1,10486382.3237829
"Ga0164294_1000144021_GEODES005","Ga0164294_10001440","Bacteria;Proteobacteria;Deltaproteobacteria;","general secretion pathway protein G",7,24896602.7265693
"Ga0164294_100014599_GEODES005","Ga0164294_10001459","Bacteria;Proteobacteria;Betaproteobacteria;","Methanogenic corrinoid protein MtbC1",6,11527796.5103743
"Ga0164294_100014756_GEODES005","Ga0164294_10001475","Bacteria;Proteobacteria;","thioredoxin 1",7,12138243.0315044
"Ga0164294_1000160216_GEODES005","Ga0164294_10001602","Bacteria;Cyanobacteria;unclassified Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus;","ATP-dependent DNA helicase RecQ",3,9644793.25802664
"Ga0164294_1000161511_GEODES005","Ga0164294_10001615","Bacteria;Proteobacteria;","hypothetical protein",7,63276306.5937961
"Ga0164294_1000161812_GEODES005","Ga0164294_10001618","Bacteria;Proteobacteria;","hypothetical protein",7,13049811.6379385
"Ga0164294_100016564_GEODES005","Ga0164294_10001656","Bacteria;Actinobacteria;Acidimicrobiia;","adenosylhomocysteinase",1,11319790.1434403
"Ga0164294_100016875_GEODES005","Ga0164294_10001687","Bacteria;Proteobacteria;","enolase",7,10864360.5721457
"Ga0164294_100016936_GEODES005","Ga0164294_10001693","Bacteria;Actinobacteria;Acidimicrobiia;","cold shock protein (beta-ribbon, CspA family)",2,13599413.8599282
"Ga0164294_1000171121_GEODES005","Ga0164294_10001711","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;","F-type H+-transporting ATPase subunit a",2,8341326.2441823
"Ga0164294_1000171222_GEODES005","Ga0164294_10001712","Bacteria;Proteobacteria;Betaproteobacteria;","chemotaxis protein MotA",1,19389746.4910504
